,word,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,d,difficultyLevel
0,manly,0.247514384,-0.199322182,0.005537631,-0.388646868,-0.404688128,-0.069553055,2.88,2
1,molar,0.180054491,-0.397712792,-0.364765188,-0.269219842,-0.114842073,0.022128023,2.68,1
2,havoc,0.137340367,0.222359071,-0.147344421,-0.399578709,-0.182152329,0.177109792,2.88,2
3,impel,0.070065249,-0.125541322,-0.424341958,-0.297163249,0.079895064,0.261410167,2.68,1
4,condo,0.170583593,-0.270962714,0.42880835,-0.573045716,0.073784406,-0.119175454,2.92,2
5,judge,0.650528496,0.77449967,0.516957054,-0.597259603,-0.464018271,0.2523187,3.85,3
6,extra,-0.021197604,0.395121784,-0.574228005,-0.275260268,0.100743948,0.230051197,2.69,1
7,poise,-0.309688177,-0.142307774,-0.582280707,-0.191912192,-0.136101111,-0.200624248,2.12,0
8,aorta,0.147609063,-0.542498282,-0.26245541,-0.315755113,0.320473685,-0.230299101,2.51,1
9,excel,0.233904506,0.802558771,-0.214756952,-0.482974176,0.228847612,-0.066591029,3.07,2
10,lunar,-0.459840154,-0.282341366,0.007464553,-0.404296224,-0.090159224,0.022599734,2.33,0
11,third,-0.935752341,-0.455093366,0.242280038,-0.469342819,-0.160456589,-0.015369802,1.89,0
12,slate,-0.70577434,-0.203460176,-0.372863244,-0.240642553,0.093398285,-0.076293694,1.95,0
13,taper,0.086785296,-0.146300734,-0.551695796,-0.183389796,-0.064764715,-0.007832586,2.5,1
14,chord,-0.561445799,-0.448859976,0.056342691,-0.397948279,-0.242342845,-0.059876827,2.12,0
15,probe,0.199279621,-0.081840981,-0.53072269,-0.202380665,-0.108811595,0.063754761,2.65,1
16,rival,-0.300410712,0.080614725,-0.103252483,-0.36869796,-0.106686742,0.113497939,2.47,1
17,usual,-0.173271972,0.249824158,0.070430146,-0.518529558,0.467551352,0.048325715,2.72,1
18,spoke,-0.262478682,0.21937977,-0.592612197,-0.238986641,-0.054497275,-0.065227557,2.35,0
19,apply,-0.367374112,0.021066239,0.337569852,-0.562335402,0.097058417,-0.148381953,2.46,1
20,naive,0.111072555,0.140730765,-0.715698119,-0.15591741,-0.117656334,-0.010171771,2.57,1
21,knock,-0.052091571,-0.309600248,0.280637965,-0.532582213,0.226474658,0.056976928,2.7,1
22,braid,-0.330099533,-0.387461547,-0.454033889,-0.213857479,-0.260988306,-0.19414063,2.14,0
23,infer,0.071905725,0.203843266,-0.175889666,-0.34593659,0.074766909,0.336023433,2.9,2
24,joust,0.120994412,0.063485841,-0.635456718,-0.159992617,-0.410562447,-0.205693932,2.47,1
25,amber,0.117865329,0.163133448,-0.529454497,-0.214688853,0.052449727,0.1694217,2.7,1
