,word,logDate,frequencySum,wordVar,frequencyGap,frequencyGap2,frequencyLevel,repeatLetters,location,difficultyLevel
0,manly,1,0.355916983,0.322436796,0.577958777,0.443769574,0.666666667,0,0.852930788,-1
1,molar,0.998247166,0.533975254,0.262102332,0.577958777,0.421941729,1,0,0.530267782,1
2,havoc,0.996491194,0.283326681,0.576804334,0.791057181,0.696592958,0.5,0,0.404061113,-1
3,impel,0.994732072,0.427010577,0.445891337,0.689993351,0.549682073,0.833333333,0,0.136162816,1
4,condo,0.992969788,0.3532728,0.149798173,0.311835106,0.357122521,0.333333333,0.444444444,0.606743666,-1
5,judge,0.991204333,0.216174416,0.698333414,0.970079787,0.626933662,0,0,0.788270508,-1
6,extra,0.989435693,0.556924766,0.778868292,0.970578457,0.800417576,0.666666667,0,0.075645809,1
7,poise,0.987663858,0.714079026,0.485163473,0.683011968,0.656258897,0.833333333,0,0.574475867,-1
8,aorta,0.985888817,0.730343245,0.168013878,0.358710106,0.369270191,1,0.444444444,0.435401713,1
9,excel,0.984110556,0.488076232,0.987924707,0.970578457,0.984720509,0.333333333,0.444444444,0.212605495,-1
10,lunar,0.982329066,0.486529635,0.225460226,0.489029255,0.384264971,0.333333333,0,0.462511109,-1
11,third,0.980544333,0.309070046,0.111376181,0.309674202,0.291354275,0,0,0.484932281,-1
12,slate,0.978756346,0.835761325,0.361833798,0.470910904,0.571889532,0.5,0,0.357255431,-1
13,taper,0.976965094,0.643284773,0.446005189,0.682845745,0.636139319,1,0,0.46588228,1
14,chord,0.975170564,0.279734584,0.185345842,0.356382979,0.396317737,0.333333333,0,0.583274764,-1
15,probe,0.973372745,0.482737976,0.509103638,0.748005319,0.647337952,1,0,0.424688095,1
16,rival,0.971571623,0.436090601,0.444457391,0.791057181,0.516940306,0.333333333,0,0.380339926,1
17,usual,0.969767188,0.589552983,0.479245713,0.601230053,0.663946095,0.166666667,0.444444444,0.048550404,1
18,spoke,0.967959427,0.601676312,0.744078816,0.768450798,0.870076872,0.666666667,0,0.348216841,-1
19,apply,0.966148327,0.311514668,0.359682147,0.57081117,0.444908418,0,0.444444444,0.438107302,1
20,naive,0.964333876,0.540161644,0.711069648,0.903091755,0.794438645,1,0,0.403679861,1
21,knock,0.962516062,0.159648773,0.184596563,0.398603723,0.355604062,0.333333333,0.444444444,0.237351921,1
22,braid,0.960694872,0.436838954,0.342375275,0.635970745,0.51551675,0.833333333,0,0.624969508,-1
23,infer,0.958870295,0.469816404,0.496864605,0.833111702,0.580715574,0.5,0,0.150177245,-1
24,joust,0.957042316,0.397675115,0.681883006,0.970246011,0.727531555,1,0,0.735128103,1
25,amber,0.955210923,0.55792257,0.6375936,0.748005319,0.798519503,0.833333333,0,0.217658594,1
26,woken,0.953376105,0.367641189,0.646730754,0.845744681,0.751921799,1,0,0.636992136,-1
27,adore,0.951537847,0.721961684,0.332039529,0.610704787,0.513144159,0.333333333,0,0.118355298,-1
28,torso,0.949696137,0.686689284,0.185988792,0.470910904,0.286229477,0.333333333,0.444444444,0.372453395,-1
29,chafe,0.947850961,0.41528637,0.833755777,0.833111702,0.86770428,0.833333333,0,0.525733169,1
30,eject,0.946002308,0.484434245,0.989450206,0.970079787,0.984435798,0.5,0.444444444,0.02502615,-1
31,study,0.944150163,0.387597286,0.431072198,0.673869681,0.455347822,0,0,0.515237661,1
32,undue,0.942294514,0.392237078,0.406663376,0.610704787,0.381228054,0.666666667,0.444444444,0.090246605,-1
33,tepid,0.940435347,0.447016564,0.406191403,0.682845745,0.504413021,0.833333333,0,0.417223415,-1
34,happy,0.938572649,0.231091598,0.396508279,0.614029255,0.346493309,0,0.444444444,0.696195046,1
35,clean,0.936706406,0.294202754,0.467776461,0.681515957,0.419569137,1,0,0.359389336,-1
36,itchy,0.934836605,0.18389543,0.090606169,0.243351064,0.249976274,1,0,0.30590727,-1
37,feast,0.932963232,0.72320894,0.743777486,0.833277926,0.785992218,0.833333333,0,0.445503383,-1
38,drive,0.931086274,0.423917382,0.597215841,0.903091755,0.668026953,0,0,0.415017645,-1
39,prime,0.929205717,0.466224307,0.452146719,0.689993351,0.587548638,0.666666667,0,0.496285152,1
40,axiom,0.927321547,0.360257434,0.600272116,0.858543883,0.714529752,0.833333333,0,0.16232315,-1
41,brave,0.925433749,0.493963281,0.846010826,0.903091755,0.920186011,0.666666667,0,0.549191711,-1
42,avert,0.923542311,0.577180204,0.687438301,0.903091755,0.761886685,0.333333333,0,0.080284327,1
43,glyph,0.921647218,0.081770106,0.052932276,0.198304521,0.133814179,1,0,0.335187735,1
44,there,0.919748456,0.663939333,0.565392117,0.72606383,0.724779349,1,0.444444444,0.319407561,-1
45,baker,0.917846011,0.534424267,0.704679816,0.768284574,0.843219133,0.5,0,0.668811502,-1
46,snarl,0.915939868,0.693673917,0.322374655,0.527925532,0.540476416,0.833333333,0,0.176767671,-1
47,maple,0.914030013,0.538265815,0.597173875,0.689993351,0.761317263,0.166666667,0,0.498157361,1
48,inane,0.912116431,0.65281381,0.372745896,0.527759309,0.580146152,1,0.444444444,0.170473769,1
49,valet,0.910199108,0.537966474,0.702886459,0.903091755,0.761886685,0.666666667,0,0.616623929,1
50,medal,0.908278029,0.55991818,0.548392336,0.689993351,0.720129069,0.166666667,0,0.308375274,1
51,unite,0.90635318,0.496457793,0.329217178,0.60106383,0.410363481,0.166666667,0,0.242229226,-1
52,rainy,0.904424546,0.484035123,0.260670013,0.561668883,0.425737876,0.333333333,0,0.717358277,-1
